   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000007        3.4325709711871800E-002   2.5135528773715454E-002   5.4040783003550731E-002   7.9162034981020660E-002   4.1379800356423175E-003	   2.4509757710267470E-003   4.2779457609943956E-002   4.9942896233008439E-003   1.8793688475472355E-002   2.7158484253777926E-002	   1.6425829019466650E-002   5.1288445554462402E-002   3.9552222234091543E-002   2.2981260402087967E-002   6.9187853778632485E-002	   4.2179605911074301E-002   8.7587029098383812E-002  0.10736458459767581        3.8920262307956373E-002   9.9200868033535977E-002	   6.0957838948080260E-002   2.1106996843658500E-002   6.8232010026675000E-003   4.6405701962155994E-002   5.6180788227639639E-002
   49.999999999999957       0.12092932150693558        8.2611009597896023E-002  0.20317986495983645       0.28323219577346193        1.2321568280118772E-002	   7.4117338372695152E-003  0.15852655365143312        9.3593944991137677E-003   6.2613596867537230E-002   9.1607510577236193E-002	   5.5760674415915486E-002  0.18224259322737915       0.14922355870973475        7.5721701814630588E-002  0.25356364464516690     	  0.15890243389795317       0.31051056659244852       0.38249322590421503       0.14500465524948863       0.34554313593065705     	  0.22091939461352103        7.0092219413399492E-002   4.2274094245681364E-003  0.16589126574905577       0.19505957134945245     
   74.999999999999886       0.23854789252435504       0.16297632181106389       0.41363518077563927       0.55370657581444449        2.7193997756638600E-002	   1.6292583013959392E-002  0.32500349655379462        4.9119004512198127E-003  0.12790454856923217       0.18945598365624594     	  0.11752400066135597       0.37740889341788214       0.31088514965092423       0.15016278137962397       0.50176415595210178     	  0.32936749823515749       0.59696219855234067       0.70615136278236923       0.29738070417201384       0.63925347610133731     	  0.44083382234955348       0.14359832771076680        3.0200699266428451E-003  0.34646740285875899       0.37457878428037700     
   99.999999999999815       0.38510237446328865       0.27335033190532820       0.64026241402337003       0.80661472656044597        4.6546250622565621E-002	   2.8121292857485942E-002  0.51666681260141467        5.2402275586113205E-003  0.22147746940012258       0.32163690152563246     	  0.20371019188044850       0.59261443565129035       0.49839197337903357       0.25140241520265055       0.74816841163349435     	  0.52797128630216839       0.84853365584308216       0.93850140561814077       0.47729419506616710       0.88328510722331910     	  0.67517997082806624       0.24591954253419643        7.2043407702756853E-003  0.55118131936749115       0.57002463398284620     
   124.99999999999976       0.55237772214513858       0.40606091860030002       0.83426041890413849       0.96170215333842435        7.0423030940437767E-002	   4.2964076408433062E-002  0.70318862036473950        1.3812006601319067E-002  0.32604062181230586       0.46436225049813795     	  0.30261084930036442       0.78835250209029617       0.68258384684887785       0.37326872295255875       0.92456010314493942     	  0.72082965510795005       0.97649629322773035       0.97928858347077918       0.66108267518903485       0.97834119900590677     	  0.86898273774752177       0.35909578298823169        4.3315095522474109E-003  0.74610267343120873       0.75231882994090205     
   149.99999999999969       0.70723956827893841       0.53690624178280966       0.95314847563363292       0.97255599103897061        9.9589001220443479E-002	   6.1234301579671829E-002  0.85003348276069790        1.3537430690491141E-002  0.43796752885359319       0.60688333399510286     	  0.41188096255290113       0.92750492354236891       0.83353231872731071       0.49712247421222028       0.98370624529161121     	  0.87750855611302270       0.93988138988417824       0.81108922637266401       0.81545426081042149       0.88633935468577185     	  0.97684710602848579       0.47835306366096531        6.9284511868024871E-003  0.89808959004654598       0.87402434018956943     
   174.99999999999963       0.82873649473832667       0.65568720084318644       0.97101005786453021       0.83688565335422493       0.13130872026122228     	   8.1532025047880152E-002  0.93215149697490773        7.1638691159771383E-003  0.55825945075635153       0.74088540165950323     	  0.52642550104814234       0.98173679247735279       0.92752033339261475       0.61526200616300064       0.91143322647194969     	  0.97271337746683562       0.74915222481058652       0.50678661900314881       0.91904817426419383       0.65664083274906748     	  0.97091316790232318       0.59983833464932812        3.3542577598006324E-003  0.97884538289315903       0.90417140830926312     
   199.99999999999955       0.90898297593886446       0.77021679550868050       0.88393537578551640       0.59335401305616897       0.16884854184004439     	  0.10577945596246033       0.93687273066537147        9.7278336625320396E-003  0.66545862179319282       0.85084285021235528     	  0.63914481021388270       0.94125103706093471       0.94931266288357696       0.73177292324381094       0.72674948679734530     	  0.98990876316597709       0.47068881313243760       0.19773835679311386       0.95546182382332578       0.36043823381804396     	  0.85750164926015071       0.70600568558568655        8.5566929797898875E-003  0.97569164245836915       0.84607813988383740     
   224.99999999999949       0.93784277176653441       0.85557615078985105       0.71081148566675123       0.32151900987839849       0.20749046307915184     	  0.13119189569297568       0.86297387749033028        1.2610045568179053E-002  0.76067789644700923       0.92525885525400797     	  0.74401768449786931       0.81563195879281247       0.89528672937868703       0.82960457675043153       0.48045827771474642     	  0.92707594513623004       0.20130340824432549        1.7438749252399806E-002  0.91899084562877209       0.10917370619612587     	  0.66720362798222865       0.79492735238588574        4.5884497400703302E-003  0.88947860259556655       0.70972131395305171     
   249.99999999999957       0.91721577253031250       0.90405888173880267       0.48970143114628384       0.10241512540344673       0.24938694616808516     	  0.15986331214260865       0.72361485655329116        7.1327532326472933E-003  0.84047840741287949       0.95715932195467757     	  0.83520345481287928       0.62605512507966465       0.77526514839825988       0.89885229705376979       0.23980540398523367     	  0.79386295942036933        3.0580852782151308E-002   4.3666473767170866E-002  0.81704937048522031        1.3351328084395870E-002	  0.43674924964491674       0.86108761838355607        4.0220629994137461E-003  0.73365248838656949       0.52054179975339532     
   275.00000000000017       0.84572565094919860       0.92576105389549224       0.26862336636745004        3.3837534352927114E-003  0.29286083109946159     	  0.19032151828086277       0.54228508029415945        3.9665751979905441E-003  0.89127209309853261       0.94824719425478687     	  0.90859466499137786       0.41146016427026899       0.60805483052218978       0.94039305132795226        6.9000276259070265E-002	  0.61304494441309398        1.8418604003275232E-002  0.26482290082783011       0.66245243868400483        9.7403528126568620E-002	  0.21953410792201550       0.89473251615919391        8.5777766120950609E-003  0.53699647148770213       0.32183927055031292     
