   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000000        3.4329804746329011E-002   2.5139779136563591E-002   5.4047515450138250E-002   7.9169344765767105E-002   4.1342843508828369E-003	   2.4498950629715304E-003   4.2780325338031083E-002   4.9916373726855518E-003   1.8800765501355170E-002   2.7165982415537707E-002	   1.6428496419393684E-002   5.1279824914496230E-002   3.9555733190943312E-002   2.2981937337266230E-002   6.9189331901920517E-002	   4.2178446493099223E-002   8.7593889777936668E-002  0.10735592174798636        3.8920245418082089E-002   9.9207286188029584E-002	   6.0959446284455980E-002   2.1110666269643204E-002   6.8423985941088051E-003   4.6395530232997396E-002   5.6197034796649788E-002
   50.000000000000050       0.12091537482855182        8.2639249761602376E-002  0.20320111999584745       0.28325114898224596        1.2313187862691232E-002	   7.4100286134939231E-003  0.15850299376382537        9.3643652571454312E-003   6.2631612376582893E-002   9.1599407744876779E-002	   5.5761887632228391E-002  0.18222177967935568       0.14921137049130440        7.5733637001889315E-002  0.25355893828437726     	  0.15889862692449080       0.31051713508374895       0.38246489418482599       0.14499289359569262       0.34556948235694152     	  0.22093336373474612        7.0097765019534783E-002   4.2342379703544280E-003  0.16586462190837345       0.19506637559690013     
   75.000000000000114       0.23852516887390801       0.16303985972393689       0.41367717943384075       0.55373187283254854        2.7181147655107686E-002	   1.6290011753879428E-002  0.32499274495918784        4.9196551920348847E-003  0.12793367951190654       0.18942138787538124     	  0.11752737687674314       0.37735922862173149       0.31090208091892890       0.15018824776687806       0.50174266766667419     	  0.32935716280061067       0.59695670051716965       0.70609502980622951       0.29739595077098918       0.63929843146198584     	  0.44086080726640936       0.14358979897359891        3.0289072919428327E-003  0.34640998114861199       0.37460852923493865     
   100.00000000000018       0.38508239602640032       0.27345600423658734       0.64033874666933810       0.80661098548036159        4.6524848444375502E-002	   2.8115865594290509E-002  0.51669928097102602        5.2338577725699227E-003  0.22152987766493196       0.32156999262005953     	  0.20370234834009032       0.59250026292448277       0.49846129202240419       0.25144567423106434       0.74813026792912518     	  0.52795531714404209       0.84849723740379646       0.93839909624273632       0.47736247440177698       0.88334813225330255     	  0.67521083509680080       0.24590976203957490        7.2204656691588348E-003  0.55107383452548853       0.57010001302773106     
   125.00000000000024       0.55241988749083082       0.40623290260748951       0.83438160471958411       0.96166063197213436        7.0397336689770065E-002	   4.2955501504386720E-002  0.70337151497025696        1.3801278547732942E-002  0.32612336373566758       0.46424461189592520     	  0.30259449116042947       0.78815778882077270       0.68281849193243072       0.37334294126545042       0.92450655929700676     	  0.72080508212343630       0.97643307658586564       0.97911370156388422       0.66129576572691706       0.97843820308342810     	  0.86902276752567675       0.35909334119938846        4.3316847020816278E-003  0.74593851130081890       0.75252979569438772     
   150.00000000000031       0.70733451340194764       0.53722063938212761       0.95331803364219381       0.97244083234123335        9.9534421708292950E-002	   6.1214258627937841E-002  0.85043672643262591        1.3556741997020543E-002  0.43807236890171619       0.60669408048381457     	  0.41184275363361605       0.92718880447047836       0.83401566998251586       0.49726788579081677       0.98363643244782351     	  0.87746957269769477       0.93978123813337844       0.81083898360106199       0.81583324526866396       0.88649507591757049     	  0.97690349562297518       0.47835919602558619        6.9481567404114254E-003  0.89783847302689623       0.87439477958669864     
   175.00000000000037       0.82893130246307489       0.65616165083641842       0.97122949558692517       0.83671927748838337       0.13122468471577522     	   8.1499095587695386E-002  0.93285985729763188        7.1871739607219185E-003  0.55839728019276935       0.74059333445054465     	  0.52634884177455066       0.98130370507330411       0.92834485526543220       0.61547409063861958       0.91134876465755654     	  0.97265334256307767       0.74902254850637584       0.50650838819916644       0.91964799794997698       0.65684189938724014     	  0.97098486070224010       0.59988506925293139        3.3569413638866608E-003  0.97850392586030277       0.90471589044200906     
   200.00000000000045       0.90934618260411393       0.77087005417477283       0.88420085258931480       0.59316295089336324       0.16870402838107254     	  0.10572646522855500       0.93796355986797098        9.7324327542107920E-003  0.66564238713760460       0.85044517288735788     	  0.63902797969989789       0.94070659547291602       0.95054385821706444       0.73205797127882699       0.72665144818057659     	  0.98982602688497789       0.47058963053403091       0.19751870082225911       0.95633348926569084       0.36062070126338919     	  0.85759892065242038       0.70613121826958292        8.5657082039065670E-003  0.97525528176124954       0.84685539557735579     
   225.00000000000051       0.93836822895228134       0.85649899124989060       0.71111284183649037       0.32134857711139869       0.20725301603804819     	  0.13111293079175382       0.86439112488909842        1.2627434193139490E-002  0.76089328035436343       0.92473436531902908     	  0.74384577951359521       0.81500726194296247       0.89686044557638611       0.83002908363608496       0.48035352508150814     	  0.92697757584287432       0.20122666626424060        1.7363875654384738E-002  0.92008823587489152       0.10929549022208965     	  0.66732620579800084       0.79515917009591963        4.6034832109694427E-003  0.88895650538240889       0.71065416925573288     
