   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000000        5.0211151352141173E-002   4.7547590181371946E-002   2.5700654043497560E-002   1.4773134523509012E-003   3.1373078066851369E-003   4.0233350092154598E-002   8.1660369225799870E-004	   5.6443945007780393E-004   4.3990044287471115E-002   2.5755717051170267E-002   3.7818010327367958E-002   4.0530370684581443E-002   6.7693895075917512E-002   3.1108045090784292E-003	   2.1560407432122328E-003   8.9722136728901218E-003   2.9121405434137451E-002   1.8590551895358191E-002   3.0400493975980353E-002   3.9103067629873235E-002   1.2899858988306079E-002	   9.0350064831519038E-003   3.9868263874315267E-002   5.0673725389234266E-002   2.3802068687887219E-002   3.0760183446300673E-002   5.5598306429092397E-003   3.6448281229764894E-002	   2.5430865201113189E-002   6.7003524136337630E-002   6.2199909080895552E-002   8.4082062770418659E-002   3.5158961617647783E-002   4.8262746706719900E-002   6.5710291864560122E-002	   4.5742349730922421E-002   3.9046000580407872E-002   2.7414253122917684E-003   1.0899124419157427E-003   6.0488700576964184E-002   4.5094320087986035E-002   9.3226321203554133E-002	   6.5115728982967955E-002   5.5977632815692058E-003   3.3578272378570063E-002   4.5923259541219022E-002   7.3766140401395841E-002   9.0310145519201003E-003   7.0489037519226194E-002
   50.000000000000000        9.8200548400704385E-002  0.11354037640135750        9.6728788903610127E-002   4.5228544120868713E-003   1.1141445556275269E-002  0.15313959990383083        1.5261569020809324E-003	   1.0666546778573273E-003  0.11531608615827578        3.6969490487222340E-002  0.14405765504797141       0.15297443526776619       0.25030126953460929        9.8118466665616366E-003	   6.8427517492536255E-003   3.4135440200148255E-002  0.10056301456877201        1.4461709653062552E-002  0.11405260246220848       0.14586051539423198        4.5725298725059989E-002	   3.2221176735162942E-002  0.15183666556485337       0.19138422966073637        9.2146755247592499E-002   4.4852105933284946E-002   1.2231358126424887E-002  0.12945681852498486     	   9.1124208271598242E-002  0.24801491649496310       0.23230818154895985       0.30693374515980348       0.11898956191154750       0.11570753600667490       0.22860563894972116     	  0.16246643506814634       0.14567477342494883        9.7600592856541355E-003   3.7178311549991901E-003  0.22602271189183853       0.11606047017854558       0.26371056629425366     	  0.19368576352830189        1.3086585571218185E-002  0.12784819140948717       0.17412600096933686       0.27201531762135550        3.4549784812688944E-002  0.14012062015220961     
   75.000000000000028       0.20637945716346920       0.23003793605692016       0.20417098589880187        6.7305596908956884E-003   2.2996681140560436E-002  0.32084247803513183        2.5113284081801066E-003	   1.8105861103642747E-003  0.24322331133831415        6.1156784998704916E-002  0.30213115852201522       0.31778614088460289       0.49902149586777267        2.1128665448211913E-002	   1.4743731859472683E-002   7.4596876995119035E-002  0.21406832378865290        8.2073805430089661E-003  0.23928619536535353       0.30631684963692984        9.9295017968404384E-002	   7.0397966578961857E-002  0.31813658908938752       0.39359575156988963       0.19693516653063797        7.3891456418754053E-002   1.3449645419666260E-002  0.27085469248018740     	  0.19411700821652014       0.49488404349409898       0.46662672936498739       0.59318218683900725       0.25069805190033811       0.23361654945876567       0.44093407168171528     	  0.32446096918774764       0.30549561535192299        2.0041415525866652E-002   6.8834998493437676E-003  0.45645631785523227       0.24545212995685553       0.49692214945169494     	  0.37889436522953684        1.4570261664365298E-002  0.26943255971342472       0.35939509194977132       0.53460483318241980        7.5920650855510738E-002  0.29359330895134772     
   100.00000000000010       0.34456183524242806       0.39397215240181294       0.33705750992000916        6.8509266298868382E-003   3.7986280872471231E-002  0.51623337092136756        4.8233848679267314E-003	   3.4039894065935939E-003  0.40039756873399135       0.11568364823583324       0.48680169761729791       0.50713521898318070       0.74501172716089525        3.6351978557190544E-002	   2.5433864718394244E-002  0.12891837555745933       0.35508110603136384        1.8224090592240026E-002  0.39122825518436721       0.49348825459967210       0.16787241642138748     	  0.12000305755906504       0.51185460421664519       0.61579211162810632       0.32798287891702327       0.13730653242546662        1.5531164296625058E-002  0.43771472022118585     	  0.32157365948617006       0.74000573664435920       0.70553931606566200       0.84588897917052774       0.41037102106080769       0.39654425638814594       0.67086969550509234     	  0.51639611953174192       0.49206295567823977        3.2817076346243174E-002   9.7134052089462939E-003  0.69566723205632330       0.40542280878810510       0.74582555682542251     	  0.59624357680591600        1.6298134935438333E-002  0.43880543995398602       0.56774095239579192       0.78236453753792190       0.13157972621204581       0.45668185445277520     
   125.00000000000017       0.46038009860749668       0.53238716947141884       0.48291948119346256        5.0448060644668205E-003   5.7210870148049403E-002  0.70750336301029770        6.5030881426581637E-003	   4.6301397321502720E-003  0.55040752911447444       0.14635533115151667       0.67080452306102789       0.69147730571098220       0.92236165289572625        5.5388603845531223E-002	   3.8765215513305092E-002  0.19358415262300446       0.50377995381517315        7.3794554806796671E-003  0.55123356398086953       0.67776439941615918       0.25251339949416624     	  0.18244477284573357       0.70158523483924340       0.81188429846256960       0.47167523990179966       0.17657833477773785        1.9511586332114972E-002  0.60961290229327747     	  0.46292697101021107       0.91796213254595449       0.88863997716232679       0.97939361616589260       0.56992734184223226       0.53491120205229570       0.86532745519881160     	  0.70763833065060866       0.67611843633036606        4.8755127601138828E-002   1.0900093853304045E-002  0.88479501381428571       0.55096491447993312       0.91099096686029812     	  0.78384540712007567        2.0466523040580321E-002  0.61383948412144229       0.76166365749518350       0.94065035443715428       0.19746178216804258       0.60217384527170248     
   150.00000000000023       0.62366511812568914       0.70007266750903652       0.62599096810195565        3.0556939519741982E-003   8.0178852384358457E-002  0.86355071342033574        8.6701206369922262E-003	   6.1753559692882655E-003  0.70966874807912539       0.22580256043805502       0.82709724036015864       0.84324879145319376       0.98237993761172382        7.8608290988923746E-002	   5.5021913287331373E-002  0.26716532883079130       0.65161669120227983        2.5097111692662006E-002  0.69998818224125681       0.82973023824842174       0.34754296471363927     	  0.25437782837287937       0.85678561610499271       0.94299276106424990       0.61410105386426439       0.26127196398904590        1.7336715484148675E-002  0.76952136013988459     	  0.60915600145129767       0.98017559246069808       0.97057206619640857       0.94913283448175034       0.72319187528204953       0.69874171543708097       0.96797645053637582     	  0.86288977262790323       0.82931084005129307        6.7510167050161704E-002   9.7901179888416345E-003  0.97879212916331926       0.71298736813224617       0.96713445002119636     	  0.92938394690418713        1.8555945560405764E-002  0.77199292690640231       0.90555897897123394       0.96250157162071925       0.27172167950984089       0.75155147522810029     
   175.00000000000028       0.72258368110399329       0.82848347073503747       0.75350132247943347        3.5102061859630090E-003  0.10617192995301841       0.95910787793614627        1.1580826458891934E-002	   8.1186732536193216E-003  0.81766694096267878       0.27832718808784834       0.93199462616090911       0.93883656782854963       0.90957855949737554       0.10453234672314737     	   7.3529699023080222E-002  0.34690827693361354       0.77555573800193334        1.5372813431616629E-002  0.82212783295942127       0.92401282488476422       0.44876031226486035     	  0.33406685443368866       0.95311597731261666       0.98349459413608276       0.74256673580222021       0.32611937925178952        1.3643989274920229E-002  0.89366759397642404     	  0.74436572343086893       0.91022387118414172       0.93154218104236619       0.76567340910713699       0.83507909053628349       0.82390833756479520       0.96762597675099349     	  0.95822535894390470       0.92623984750217936        8.8503484246566413E-002   7.6879543321492503E-003  0.95545319274319018       0.81969288904270876       0.90933478526994727     	  0.97592534256386843        1.5492506282489811E-002  0.89234251369904294       0.97253569269173268       0.84273402522175855       0.35175881494219025       0.82186507910032391     
   200.00000000000037       0.83331607301008992       0.91272247059545641       0.85443190586897733        6.7248544477703275E-003  0.13359626414730796       0.97905430684741668        1.3914220475537146E-002	   9.9032564627590108E-003  0.89947783365709111       0.33900296771306848       0.96998344690515392       0.96227226687025402       0.72385178202771272       0.13526014849500026     	   9.5698002555405948E-002  0.42989929386267500       0.86932617546645541        7.0279397318379570E-003  0.90445365841754788       0.94615700039458195       0.54989415758833216     	  0.41793005035599762       0.97615285550237862       0.92604645645677075       0.84432611434482363       0.38995925477934862        2.1683684774389943E-002  0.96842264901534070     	  0.86012301621165810       0.72804801643991945       0.78152691186114520       0.49100107666398418       0.90629374741759960       0.91041131813720344       0.86440027518784968     	  0.98511024427866878       0.95382987556355270       0.11098972545942695        6.3517584032667463E-003  0.82114023149610793       0.90141445655455921       0.73153296404461687     	  0.94960326947804197        2.2759626690681056E-002  0.95839866475203916       0.95022828968529283       0.61768062055809692       0.43508956958599670       0.86256731316425816     
   225.00000000000043       0.87503533635218689       0.96239638056797061       0.91733480300310977        9.8984578316286924E-003  0.16236784682781236       0.92016945178666565        1.7033227919481506E-002	   1.2063057249857578E-002  0.90965972223467362       0.42908232667636509       0.93513662590254187       0.90860319790129407       0.47561091236879832       0.16720139151132249     	  0.11943615556628252       0.51423328246847533       0.91726751379320792        2.7492119025067187E-002  0.93403382835239479       0.89184403052121242       0.64636317394408083     	  0.50327818405266567       0.92202609689978177       0.78202828930921775       0.90917326290310840       0.48544757266835159        3.2011805055385395E-002  0.97944354564249925     	  0.94304531415593096       0.48193626078150187       0.55801475437030856       0.21736508248256386       0.91150082938350374       0.96019402866363979       0.67474652914821409     	  0.93806569921255056       0.90619303769232207       0.13498174174734215        5.8329073346913797E-003  0.60853818170661100       0.91198694908617250       0.48386811797407303     	  0.82975570297638201        2.9839650405802807E-002  0.96008831120990912       0.84294364097475560       0.35498250692679334       0.52008042497581830       0.82892531385517765     
