   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000001421        3.4329496845679652E-002   2.5136770054397420E-002   5.4041268626410705E-002   7.9165031040663261E-002   4.1376496432157447E-003	   2.4499864377645814E-003   4.2796647973324192E-002   5.0026563668806529E-003   1.8793681239647125E-002   2.7181646413692549E-002	   1.6430424962584438E-002   5.1299265173671067E-002   3.9565658321095099E-002   2.2987185880496946E-002   6.9209401722828037E-002	   4.2189160709976685E-002   8.7604409178114240E-002  0.10739348504984465        3.8934267339144256E-002   9.9207237943891191E-002	   6.0959349050787086E-002   2.1115580622795616E-002   6.8423073558172634E-003   4.6420851345297005E-002   5.6175551421857865E-002
   50.000000000005414       0.12095710145922424        8.2576661849754471E-002  0.20317030515134557       0.28323977795388372        1.2328346260527456E-002	   7.4123922731226220E-003  0.15858274436523659        9.3680762853959425E-003   6.2597913105660888E-002   9.1653458699230486E-002	   5.5762754667877591E-002  0.18231212370066138       0.14925155909902341        7.5716962583404449E-002  0.25363066235641496     	  0.15893752515123455       0.31056458432510547       0.38258751574814093       0.14503587316550359       0.34554542043652020     	  0.22090974862047186        7.0110567711879901E-002   4.2361075560157753E-003  0.16596923356165577       0.19505256871164448     
   74.999999999999957       0.23861153427320220       0.16288144419052025       0.41358822217642727       0.55374040097827693        2.7205408829744079E-002	   1.6293374410705733E-002  0.32506900930220983        4.9096040931228520E-003  0.12786530133811394       0.18956029895238727     	  0.11754131230181701       0.37755913886098269       0.31088957897245917       0.15013795671876015       0.50187493729693478     	  0.32943166194412593       0.59705135331147763       0.70630622999908987       0.29738721666837825       0.63921861781850187     	  0.44080119822759112       0.14362894507693125        3.0231966771059621E-003  0.34662475171424528       0.37455445771217510     
   99.999999999987011       0.38513472150576999       0.27318672455333814       0.64014854254771081       0.80667191234847924        4.6579439094726241E-002	   2.8132528019217180E-002  0.51661349911283738        5.2622455533834489E-003  0.22141337654282656       0.32183299579366159     	  0.20374681635134276       0.59290410280681671       0.49824525111082735       0.25136221181662116       0.74829919068369122     	  0.52805755308712321       0.84862999759790747       0.93868119714011855       0.47715486439006566       0.88315692596660400     	  0.67512399725499739       0.24596436669231564        7.2318719274223828E-003  0.55145442655609633       0.56986168878384702     
   124.99999999997407       0.55229808200486663       0.40576140727041643       0.83404321414597471       0.96180214165134714        7.0471823868782119E-002	   4.2986049889140412E-002  0.70282382719903191        1.3837132398327097E-002  0.32592087537011172       0.46464594853514501     	  0.30266895580586056       0.78877110562343744       0.68207902515580965       0.37318662093435573       0.92465667253510930     	  0.72092498753354139       0.97656454548845506       0.97945868567442984       0.66063926339685897       0.97800858416193481     	  0.86887186686819651       0.35912519640427920        4.3278996032602591E-003  0.74648234141116365       0.75188285652902198     
   149.99999999996112       0.70701767604330323       0.53630401378060277       0.95278221329327595       0.97265038883431310        9.9685289968896557E-002	   6.1280227055563512E-002  0.84915512011864880        1.3505717334964125E-002  0.43780252447838675       0.60730192341169154     	  0.41198419011834997       0.92807133669288777       0.83241961171833656       0.49692079419594459       0.98370034283919683     	  0.87759047469671558       0.93984709295833646       0.81123249785428841       0.81458561953274367       0.88570887229079576     	  0.97664198522752588       0.47833787229415670        6.9474109434366103E-003  0.89859080879719566       0.87322837976093604     
   174.99999999994819       0.82827849181522839       0.65472494854854812       0.97045643203042109       0.83696586644919013       0.13144908368054115     	   8.1605047221677163E-002  0.93055030351354850        7.1317347233425558E-003  0.55802732734523097       0.74145484158642749     	  0.52657328680119608       0.98239062738060112       0.92556608573679022       0.61492247984265358       0.91128392853838003     	  0.97276076840552228       0.74896761533925860       0.50689328773809594       0.91760385127250688       0.65580512912105815     	  0.97060031778152445       0.59968914937983275        3.3684766188861698E-003  0.97944052273079496       0.90292939680776796     
   199.99999999993523       0.90811575829685964       0.76884475523088802       0.88318581089302783       0.59337571232586772       0.16907647207009285     	  0.10588949434019261       0.93440095471383233        9.7372498866083075E-003  0.66509263024616194       0.85153865732806000     	  0.63934982776699922       0.94194373410390464       0.94639950782404003       0.73124923290656374       0.72645680971071525     	  0.98991087333420980       0.47041813436614094       0.19779661822739725       0.95335303340180477       0.35962523071534436     	  0.85705844009554910       0.70560551907612312        8.5506482226064221E-003  0.97635615728522729       0.84431493869349639     
   224.99999999992230       0.93652480458564302       0.85354611432992200       0.70990126033424683       0.32148683634727976       0.20786659454227882     	  0.13135488626892186       0.85964661595854075        1.2571978937959690E-002  0.76019346401297183       0.92608317689914943     	  0.74428344699604876       0.81629242183486361       0.89145692298669288       0.82869735705064951       0.48008504126573226     	  0.92702096191209460       0.20102523218629947        1.7454062750499336E-002  0.91622633643928209       0.10864014155666446     	  0.66666069390852112       0.79421149376123334        4.6235882026253476E-003  0.89017854790452500       0.70744815070352252     
