   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000001421        5.0204882724914981E-002   4.7569885382967150E-002   2.5733369428020618E-002   1.4821338405191862E-003   3.1177485581128377E-003   4.0296200000199373E-002   8.1983817576176824E-004	   5.6579756107438762E-004   4.4027014087068939E-002   2.5757240577799191E-002   3.7792998148652834E-002   4.0559509217453826E-002   6.7697979233381958E-002   3.1202024810257616E-003	   2.1583916600808307E-003   8.9965596900643246E-003   2.9182686895591999E-002   1.8607122964988475E-002   3.0340359092032226E-002   3.9054430519785341E-002   1.2920774835647025E-002	   9.0345815003189146E-003   3.9876403363849823E-002   5.0764800095433833E-002   2.3881842317481566E-002   3.0785387385185999E-002   5.5502821472436297E-003   3.6465877763678253E-002	   2.5424409202060207E-002   6.6983477449409745E-002   6.2181952093312808E-002   8.4163629193141187E-002   3.5227341812306849E-002   4.8268883771714788E-002   6.5722565950945375E-002	   4.5768851836203932E-002   3.9073625358753673E-002   2.7459092632070112E-003   1.0940493094860457E-003   6.0562219661790075E-002   4.5114708355144993E-002   9.3172433967747340E-002	   6.5125064208143721E-002   5.5922540491082171E-003   3.3551445145062100E-002   4.5910922374451511E-002   7.3729316415453758E-002   9.0500876710416338E-003   7.0437784070487938E-002
   50.000000000005414        9.8349551024099618E-002  0.11340163199954931        9.6851823278681290E-002   4.5348607085522880E-003   1.1065579824094821E-002  0.15338596999863247        1.5320861674322096E-003	   1.0696932637753811E-003  0.11548434913447927        3.6988050807180643E-002  0.14395200266554875       0.15303705419368280       0.25033661824603320        9.8427268608686537E-003	   6.8510290530254632E-003   3.4225938134877475E-002  0.10076687271057908        1.4576628483219880E-002  0.11380808663647134       0.14567811351618196        4.5804224557995536E-002	   3.2221425753906900E-002  0.15190269200184989       0.19174438481351078        9.2407580274188605E-002   4.5026103852001821E-002   1.2160870971771345E-002  0.12953388346487457     	   9.1102790079895038E-002  0.24796749600831250       0.23228315945019390       0.30723112235745403       0.11919324645181542       0.11568488849888693       0.22867255724650815     	  0.16254944371573823       0.14576253276402890        9.7773190988608323E-003   3.7341356671267401E-003  0.22631831211602432       0.11618415669045186       0.26352069063688166     	  0.19364186822466598        1.3061304635504688E-002  0.12774095608763739       0.17407538299733971       0.27194173978788955        3.4618403299283319E-002  0.13995470583633116     
   74.999999999999957       0.20685010093627451       0.22923775639020436       0.20438176134836433        6.7366657450821099E-003   2.2844010951864637E-002  0.32140219406551923        2.5186963500070459E-003	   1.8164572969997335E-003  0.24366828889190528        6.0842117555165602E-002  0.30179577510859429       0.31781311029845366       0.49917198530634022        2.1191519719227985E-002	   1.4764307476417490E-002   7.4812210531623263E-002  0.21434938761661509        8.1224434908533892E-003  0.23873505931767419       0.30598884826717687        9.9469836520603358E-002	   7.0417096532870538E-002  0.31840337121486356       0.39442092506589793       0.19721979156861727        7.3637796089334101E-002   1.3346345407919964E-002  0.27105507018777253     	  0.19409872177136253       0.49489406778900452       0.46672828057774962       0.59380963741507164       0.25074980727418344       0.23313214749592662       0.44103665718837098     	  0.32459092412711543       0.30566203551529519        2.0082358035877095E-002   6.9148092414184556E-003  0.45715909301724839       0.24554584639694707       0.49642788969095369     	  0.37859534286420149        1.4533718083113892E-002  0.26918809923057396       0.35928163569195570       0.53467394695639736        7.6074731925829725E-002  0.29348468813412709     
   99.999999999987011       0.34466353658452054       0.39301612360382865       0.33725348489420415        6.8307875320210258E-003   3.7749420624470530E-002  0.51723681335189808        4.8252111176302825E-003	   3.4065350217316235E-003  0.40006451023286099       0.11542395711599746       0.48596421645666610       0.50695438485639799       0.74538449015575647        3.6493975771732655E-002	   2.5485760384243269E-002  0.12932846824524688       0.35504907701088484        1.8342351825712470E-002  0.39023725430140183       0.49298171750020919       0.16817729064240877     	  0.12007402453771043       0.51256101210191507       0.61724045120192694       0.32812332395235383       0.13732663879373277        1.5545260138220716E-002  0.43814559025769523     	  0.32162279088546164       0.74021291350621621       0.70601882349967882       0.84697005711315310       0.40960890400374145       0.39601427072658146       0.67099521774357607     	  0.51652361310454031       0.49227309707017969        3.2898930979834373E-002   9.7580079794150273E-003  0.69699297983988950       0.40483409697861050       0.74518753103762103     	  0.59590373270903263        1.6394900989434340E-002  0.43831666035024808       0.56754899151512261       0.78293454116692285       0.13184785393494985       0.45560216645758778     
   124.99999999997407       0.46050270788693276       0.53063261796075567       0.48275256619551499        4.9997089956834760E-003   5.6897532930299970E-002  0.70904909315479314        6.5150875379448251E-003	   4.6335501369335116E-003  0.54927458372783089       0.14579757492030984       0.66911002269289721       0.69095375061290898       0.92304465961398363        5.5592159732062635E-002	   3.8847392494921133E-002  0.19431004036548558       0.50294036602172509        7.3137152393220380E-003  0.54951493213477531       0.67706203456629144       0.25293619316969218     	  0.18259196199413300       0.70301334430279450       0.81406830187509627       0.47100423263138391       0.17614593988204977        1.9563690560240890E-002  0.61033186207669698     	  0.46307676288067634       0.91848387077724536       0.88976110963808419       0.98110731734363310       0.56750467171067576       0.53375922150227273       0.86540015878363574     	  0.70764746717419247       0.67631822484799031        4.8894384555766814E-002   1.0953957991938339E-002  0.88698117421525946       0.54966966879035606       0.90991313244565364     	  0.78322519390516954        2.0658228417756667E-002  0.61296922032363088       0.76139754145218930       0.94212698846433718       0.19790216608798056       0.60087182850394827     
   149.99999999996112       0.62284472214629505       0.69715409789917870       0.62490213624333679        3.0208649334214593E-003   7.9795685635165564E-002  0.86572606392280560        8.6817614236545347E-003	   6.1800448448433437E-003  0.70629651400155347       0.22468272147572987       0.82421159499393803       0.84228656937763680       0.98340627465509212        7.8929537309397502E-002	   5.5143964414921573E-002  0.26840700821246255       0.64926437154314509        2.4822889250143823E-002  0.69719164348344698       0.82871920837874968       0.34816921396000988     	  0.25466936090455750       0.85919507356719971       0.94596011836854588       0.61204306948037057       0.25965855233714791        1.7293478404530018E-002  0.77060411285599317     	  0.60945025656730556       0.98107194023592770       0.97247453765735725       0.95162103864905623       0.71795639910122022       0.69633321546926075       0.96802473967868763     	  0.86275612431747872       0.82944290172363744        6.7719542457562232E-002   9.8503927828898965E-003  0.98203608002007325       0.71010079790851299       0.96567173015360908     	  0.92843484897072492        1.8599076159921967E-002  0.77053338555127682       0.90524020397797500       0.96515980809360569       0.27247353682733999       0.74878916739455803     
   174.99999999994819       0.72051138831753903       0.82524040777884367       0.75079816568853264        3.5155092176733936E-003  0.10572972759066881       0.96192162160321104        1.1580739494523594E-002	   8.1141065508514455E-003  0.81099913958872683       0.27764116108275244       0.92763232866344458       0.93737189290018708       0.91086257432334994       0.10502366907323780     	   7.3697862859336744E-002  0.34891525090379472       0.77084432070777542        1.5981074932315820E-002  0.81779724783649155       0.92255698935588504       0.44972789095371790     	  0.33455686399069640       0.95664751574341178       0.98719418321325914       0.73829053974149184       0.32508151845919586        1.3553331645738902E-002  0.89515087358938827     	  0.74479543479971633       0.91137349568044468       0.93411699722766084       0.76882450468347141       0.82573301463167570       0.82083774937131060       0.96765257178087505     	  0.95794985294285950       0.92615449385293636        8.8781675899380672E-002   7.7561390726505041E-003  0.95981045792356334       0.81468847957098456       0.90771077299819991     	  0.97466733112835491        1.5448087504357010E-002  0.89006803317958938       0.97219363414533500       0.84651881412386354       0.35306607246925048       0.81826657064940511     
   199.99999999993523       0.83016677875800204       0.90720179182639749       0.84933674883399868        6.7585269861202913E-003  0.13309538385846620       0.98247712480250149        1.3990497673865114E-002	   9.9269431425684004E-003  0.88952916778118807       0.33666977465431047       0.96409326535920359       0.96024324983105414       0.72525512983686735       0.13605644088627669     	   9.5930197902758071E-002  0.43303249598015314       0.86173359617383338        6.5455096154563835E-003  0.89815337521596117       0.94408449641211667       0.55155375982414612     	  0.41876718080115427       0.98079259988374168       0.93034715258847611       0.83709160808360816       0.38578268743562050        2.1528115539790151E-002  0.97028608750869305     	  0.86070812456076617       0.72933911112840422       0.78445373740678126       0.49429722745460186       0.89253989957293389       0.90487031172993704       0.86444551487895815     	  0.98462662338758411       0.95342417702453430       0.11131824618798666        6.4263211108029402E-003  0.82640426143249801       0.89446908908262512       0.72926002876281781     	  0.94785637814638302        2.2664380874750478E-002  0.95513023095793670       0.94988768280290370       0.62207151055667886       0.43737786926983213       0.85741356991844009     
   224.99999999992230       0.86941753262426835       0.95607190097831263       0.90911791011263554        9.9024286707943068E-003  0.16180940335751345       0.92407201917198101        1.7145913517413441E-002	   1.2099388761646280E-002  0.89481719740973142       0.42615599975622448       0.92790934406153092       0.90597443373593212       0.47691010713360305       0.16851713646938218     	  0.11977772072839436       0.51885805126570483       0.90597131752919313        2.7359793851664392E-002  0.92553423313593419       0.88904289588910890       0.64894114863087438     	  0.50449183829526956       0.92760348026536810       0.78664592339541373       0.89838289740196653       0.47978196718467725        3.1660143752826296E-002  0.98176894478135424     	  0.94389087426605245       0.48315603084770475       0.56083869399442610       0.22000113501829521       0.89256298489732155       0.95315283333195666       0.67474103992830470     	  0.93746338829856390       0.90538454227865650       0.13533107875525105        5.9048737613672112E-003  0.61417763297614514       0.90226551051522352       0.48163497755960921     	  0.82728885346890668        2.9421511915375530E-002  0.95577852372822203       0.84260755597781289       0.35907973323835979       0.52378181540922786       0.82210867492710060     
