   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000000        3.4320182084595995E-002   2.5160398687227685E-002   5.4071749239517526E-002   7.9195859003176036E-002   4.1290836551973248E-003	   2.4502032409448333E-003   4.2736559174141875E-002   4.9724281093919053E-003   1.8821581815529148E-002   2.7135315082049416E-002	   1.6426958948796914E-002   5.1259504300572363E-002   3.9525109970837739E-002   2.2974251021442862E-002   6.9169550084269130E-002	   4.2167714332643165E-002   8.7587297920056290E-002  0.10731431223787671        3.8877222334320789E-002   9.9256521095434508E-002	   6.0974618349202307E-002   2.1102717404008670E-002   6.8395318793545955E-003   4.6356421162836510E-002   5.6222662065902991E-002
   50.000000000000000       0.12082491782273912        8.2807075643178088E-002  0.20330790089759931       0.28334171959460591        1.2278963719730316E-002	   7.4049554614868387E-003  0.15835539945386917        9.3598246704419703E-003   6.2727609990153158E-002   9.1511543581594496E-002	   5.5779170547642594E-002  0.18208809012220772       0.14914391049452583        7.5780881287758256E-002  0.25348243164348688     	  0.15886611020893063       0.31047145491777478       0.38230921070880647       0.14490548207969542       0.34575329667143129     	  0.22102198566539258        7.0079330691970615E-002   4.2323502783326783E-003  0.16567774028898505       0.19508700162071521     
   75.000000000000028       0.23833507327415826       0.16342965355265243       0.41395270679689722       0.55379215433850626        2.7131837583277557E-002	   1.6285980461908954E-002  0.32485483407263416        4.9363329910444148E-003  0.12813657363802855       0.18915723719878083     	  0.11752658441584060       0.37704490484302661       0.31093570907719797       0.15033463284699752       0.50158079993975080     	  0.32930171466614827       0.59680980483507462       0.70574869426474551       0.29739802641536794       0.63962505291384941     	  0.44104007487667057       0.14353387842382567        3.0386709180720843E-003  0.34601808928064359       0.37467396539501968     
   100.00000000000010       0.38500592685453194       0.27411102668237908       0.64085535354836387       0.80649119518238843        4.6401040201328285E-002	   2.8085618090737240E-002  0.51693488293096790        5.1730252117530165E-003  0.22187034996160310       0.32102704947386651     	  0.20364213357870603       0.59173143862709343       0.49890176133630187       0.25173228792088048       0.74783820528208356     	  0.52787010300544301       0.84816431044311724       0.93774455601739037       0.47779253558764195       0.88380442694237027     	  0.67541786337389265       0.24583000634767255        7.1893370854175442E-003  0.55030672168592176       0.57063883957133910     
   125.00000000000017       0.55270044317731160       0.40733405315883087       0.83518693026290802       0.96117672021312717        7.0218748412367388E-002	   4.2899332111428587E-002  0.70450500019524320        1.3736488296039715E-002  0.32668743603622297       0.46337323234964012     	  0.30246705923090150       0.78684590304898538       0.68416665901461449       0.37389014485417305       0.92403949886832426     	  0.72064583229960621       0.97584916021272572       0.97801495842999886       0.66257048038648902       0.97908374700850920     	  0.86927022221603234       0.35904614106617616        4.3440705541945525E-003  0.74474761841457482       0.75404246874311343     
   150.00000000000023       0.70802919857835889       0.53922733790576549       0.95444402794084615       0.97151659007695179        9.9149365134670278E-002	   6.1080214287230518E-002  0.85298432249450185        1.3652017914876573E-002  0.43880474860584595       0.60523793843265195     	  0.41151524519599753       0.92504042783915164       0.83683413494798164       0.49831111287305224       0.98296482225793935     	  0.87718066241264103       0.93895543645618296       0.80929129988963022       0.81818978245314355       0.88749400691373392     	  0.97722764445470534       0.47839082847783371        6.9506165555792985E-003  0.89601455467575708       0.87715993496198164     
   175.00000000000028       0.83027474106093690       0.65922109275806162       0.97268434715753838       0.83540034932313090       0.13062944830645079     	   8.1274588340416787E-002  0.93733646258986891        7.2993414379432901E-003  0.55934950400252348       0.73833937050559473     	  0.52574426448374967       0.97834350606876896       0.93312752096864282       0.61701223560418128       0.91043928178908085     	  0.97216670296609142       0.74808407352826944       0.50478958326006063       0.92342072246124862       0.65808753615969307     	  0.97138542120220317       0.60021800736891129        3.3249375892682887E-003  0.97601957971116138       0.90896208827197433     
   200.00000000000037       0.91176911486598666       0.77508372568932205       0.88594591974812753       0.59172235694710273       0.16769527069503173     	  0.10536728579800768       0.94472444075069817        9.7279095956371193E-003  0.66695252876851474       0.84733979287453864     	  0.63805701281536931       0.93694930378546926       0.95752318358623079       0.73409105801122321       0.72554980059232554     	  0.98910275197335429       0.46972471530683246       0.19616788684392999       0.96170761808596006       0.36173494060449746     	  0.85818007926682982       0.70703858378131856        8.5965322710767622E-003  0.97207263952344769       0.85272357803708132     
   225.00000000000043       0.94192738280212840       0.86250699935670694       0.71307449475106854       0.32009621803168281       0.20561428915371310     	  0.13056532079007724       0.87333065100425644        1.2716006977352869E-002  0.76245235997879335       0.92056970489363921     	  0.74240735544647196       0.81070335461542198       0.90589542499475362       0.83295668975580828       0.47917233744162141     	  0.92607261750246539       0.20062661487985942        1.6916889972613432E-002  0.92702447118669717       0.11000984932096179     	  0.66807369896918789       0.79681878243169924        4.5725487194322022E-003  0.88516518249329568       0.71794752401130602     
