   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000007        4.3429278965402281E-002   3.6648282389295114E-002   3.9730311410038285E-002   1.8337321981145596E-002   7.8917495684157207E-002   2.5003806903044659E-003	   1.6950379546809250E-003   4.2852344139335148E-002   1.4861474266299203E-002   3.7243977614449995E-002   7.1244737808873526E-002   8.0638453001739881E-003	   5.5361782046806788E-003   2.4157109973030857E-002   3.4311321929995753E-002   1.3981368882903172E-002   8.1156752017183323E-003   2.8496289570249578E-002	   1.9575938817043944E-002   6.9092394408905175E-002   8.4451470843310783E-002   3.2461832837314387E-002   4.2246991663767483E-002   6.4542112481418445E-002	   4.4355687781510882E-002   6.2805964108632178E-002   3.6049690451002571E-002   7.9841436404917934E-002   4.9318528856054922E-002   8.8188246875276446E-002	   6.0802075799945482E-002   7.2066170152364183E-003   1.9013928834415345E-002   3.3443057018338433E-002   2.7678723837171852E-002   6.2224452829104042E-002
   49.999999999999979        9.7158323728404244E-002   9.5376544384805223E-002  0.14512924247544928        6.4264942107422410E-002  0.28518273252708515        3.2306457956375171E-003	   2.1803943177930310E-003  0.13035713267607238        1.3345610323146415E-002  0.13613114258918266       0.25843196422492853        2.9579362436948819E-002	   2.0132985223883435E-002   8.0658439596425546E-002  0.12108232696950989        1.2956439756292638E-002   2.2644356926301217E-002  0.10797305338275641     	   7.4879435418162485E-002  0.25242216545369345       0.30321814462209973       0.11425541686561186       0.11026148096775723       0.23462118811414978     	  0.16417642184834752       0.22971735731575590       0.12539834804641911       0.28827438526039117       0.14720788528965623       0.27641565555177483     	  0.19995238416367689        2.0406486055687709E-002   6.6679958790912972E-002  0.11668005759920642        9.2341054762382191E-002  0.14300623511111857     
   75.000000000000000       0.21774426070933042       0.21637822185656130       0.30254440124691012       0.13793176417636213       0.55364657549806462        6.7781806630799746E-003	   4.6595353610886740E-003  0.27833459490242907        3.8927986316656754E-002  0.28541010366706948       0.50748987942191359        6.1115141774371828E-002	   4.1661290820032011E-002  0.16984127591178821       0.25713214957189157        3.6481837288612005E-002   4.3789292077708805E-002  0.23078506634639112     	  0.16228653312134372       0.49844659662868046       0.58527822208385039       0.24406126231314615       0.24533403746012503       0.46745568676086252     	  0.33894642675703784       0.45813239877643691       0.25874950088039433       0.56191794815806984       0.31352456737717055       0.55064817478102079     	  0.41177693071121274        4.0080964930118909E-002  0.14319462519912132       0.24128823252829956       0.19240348880140209       0.30366025802865720     
   100.00000000000006       0.34774800063319516       0.34346601097113538       0.48862709377795582       0.23140778918133742       0.80368846034680419        1.1731840517223096E-002	   7.9840917459913178E-003  0.44714362236084576        4.8202239064608285E-002  0.46475719802837057       0.74959262791640446       0.10213552800978244     	   7.0755754115061742E-002  0.28903011445625115       0.42077078965801651        4.5701660958630159E-002   7.3456380577779409E-002  0.38154319048003077     	  0.27352005509904220       0.74364564481448892       0.83896795920793710       0.40022535191139108       0.38503129944828796       0.70469673497732599     	  0.53835866536635701       0.69258605676981067       0.42521868902069770       0.81574871049776265       0.49474763870872207       0.78898615528924354     	  0.63170174661128164        6.6435108647522792E-002  0.24034097418941602       0.40145606663831573       0.32644010773547233       0.47655217543501077     
   125.00000000000011       0.49260559453010211       0.50027438413849790       0.67151344716047945       0.34100422098688860       0.95780723921363642        1.6771687672040535E-002	   1.1399607139503878E-002  0.61929246697633300        7.6276669245548420E-002  0.64451376063316956       0.92052868890218598       0.15419619725844669     	  0.10795741812626043       0.42104557879814336       0.58932906863701839        7.1407959892380482E-002  0.10628150927474855       0.54427512631101393     	  0.40126668693852413       0.92095579678718598       0.97721174233997055       0.56478141695892026       0.55094112088300284       0.88834981169123939     	  0.72874468553669769       0.87825556185239084       0.59234506523071162       0.96774350361138162       0.67152493731023710       0.94874044880296882     	  0.82682246417186256        9.6602082855568192E-002  0.35435244760504103       0.56437005867809742       0.47038253156545196       0.63691797354315793     
   149.99999999999997       0.64504924603268876       0.64336950336625609       0.82707150273945673       0.46036653132853078       0.97072031091396871        2.4269214921992494E-002	   1.6655550906459905E-002  0.77334590604594411        9.5989278826682456E-002  0.80381883117579755       0.96975659580528961       0.21744252830291727     	  0.15307823274614304       0.55687367742197569       0.74403954339953360        8.9924815914759371E-002  0.14988410845398770       0.70116918626809188     	  0.53653626831713896       0.98467102836068221       0.95556904054864455       0.71949670920332554       0.69586517037610895       0.97950912735775841     	  0.88259476353702060       0.96876293846939610       0.74671246717465534       0.97174496061373550       0.82021741629184830       0.96118113694342822     	  0.95270669256042528       0.13499083737905773       0.47865624768237441       0.72030861336522989       0.61348842027424699       0.78569400375929166     
   174.99999999999980       0.75838894070910401       0.77664707910031772       0.92803897115103484       0.57802305656741604       0.83542103607144846        3.1743673996740260E-002	   2.1762160850676553E-002  0.87773129997752586       0.12322389637962854       0.91575696725223854       0.88007048689981193       0.28667024361814131     	  0.20388478252006723       0.69005095962254592       0.86021402114937007       0.11621459513365379       0.19480463550055624       0.83366124461168389     	  0.66822681015540619       0.91386553117919311       0.77976671385272878       0.84182827311214103       0.82317088834579744       0.95511947501080618     	  0.97161101556925134       0.93943304202432654       0.86653381301291332       0.82797866640932005       0.90345619579470327       0.84790924666293699     	  0.97888482615501315       0.17573228527265561       0.59931026674840393       0.84844940742257791       0.74979920683797951       0.86026450696999557     
   199.99999999999966       0.86166428193947786       0.87350346987065863       0.96114654657478482       0.69103580859445290       0.59582848840107716        4.1327343074690874E-002	   2.8509211730273983E-002  0.92950644100155555       0.15865109289604448       0.96565811048388661       0.68157394830217355       0.35779065641451724     	  0.25797191143718151       0.80385836755243623       0.92687252510594664       0.14784382108776092       0.24501893721097193       0.92831731064870970     	  0.78741013066621401       0.73214742747962802       0.51164461245955128       0.92085127233147368       0.90664692721019291       0.82136348719921037     	  0.98392506672211544       0.79941759249266242       0.93262117821210444       0.57852986176556265       0.92016375680950790       0.61286127585692485     	  0.91799570178151080       0.22084937788768094       0.71174104631656343       0.92771108413824510       0.85813853938205242       0.88671883962536413     
   224.99999999999952       0.91035990260258026       0.93830484394073677       0.92095758350338042       0.78781138097443904       0.32744233313331916        5.0802396709016297E-002	   3.5220070399723705E-002  0.91322567072833560       0.18763953713762466       0.94754264806165067       0.43227909130964010       0.43178403809729232     	  0.31657751945055884       0.89035440162829893       0.93086050169189205       0.17794137983308989       0.30199643200310006       0.97400198871416099     	  0.88461743970255802       0.48863958595312351       0.23696927294857861       0.94626279064340446       0.94773772616150920       0.60764729675036255     	  0.91596970701321900       0.58369187033447978       0.93989342662049691       0.30481237785321785       0.86407618674884024       0.36640418405675851     	  0.75681821148002071       0.26963096702640932       0.80476331039836857       0.95653323699534465       0.92935510064153071       0.83531960004662931     
   249.99999999999935       0.91103173137021132       0.94314894475325661       0.81369622222334181       0.86519037685425582       0.10993151066207231        6.2191268554024175E-002	   4.3388225394159347E-002  0.83076043330679150       0.23510759137406520       0.86393194581209543       0.19578223186477137       0.50754392368640766     	  0.37909533333611611       0.94554904700238462       0.87742287091077875       0.22073155815052234       0.35276050059517161       0.96598584875399829     	  0.95318106211003628       0.24552293234237091        4.7384369805621301E-002  0.91179080214617458       0.92837473472366583       0.36724921916619979     	  0.77844062026420302       0.34475098323170655       0.88789411346352620        9.0130123564953937E-002  0.73701920211997385       0.13147012431674912     	  0.55430205354602846       0.31668866060464523       0.87560342078941256       0.92150047894790588       0.96075838519403267       0.72774848920147983     
   274.99999999999920       0.88168931709072462       0.91772793341155656       0.65579761694109340       0.91602962087493889        9.2876541321344486E-003   7.3640917250019658E-002	   5.1762540962072841E-002  0.70627995432398749       0.26464202923475172       0.72408647481907562        3.8655335728088880E-002  0.58185025013456393     	  0.44270383253726758       0.96202860078141650       0.76697503497508435       0.25310551299633272       0.40334465052465879       0.90643837749578371     	  0.98719837644462305        6.7470723876081398E-002   7.8098593470756292E-003  0.82909424917850427       0.86630102763092987       0.15781271563145405     	  0.59190404977317623       0.13986537554620915       0.78194539773187588        3.6258614165134780E-003  0.57211535804260971        2.7496970933625825E-002	  0.33414979501100883       0.36455982275029325       0.91673869272146424       0.83894703672220250       0.94949262147088465       0.57445444061600259     
   299.99999999999903       0.78094898659682910       0.82895147448398931       0.47199169536844393       0.93622187933860512        5.4622793103956742E-002   8.6560400770997928E-002	   6.1068423088840758E-002  0.53404494736961705       0.31313585468730160       0.55218395529472486        9.5324284846953437E-003  0.65233664830550009     	  0.50696204008633683       0.93865477884800130       0.62128215593215741       0.29721453425508654       0.45076055399492532       0.80022409558810992     	  0.98385488862474668        3.2574254098207208E-003  0.12948699982873665       0.69819424234115746       0.74739460834948934        3.4121722525541492E-002	  0.39034449006257310        2.0962493888369040E-002  0.63612073965824156        7.1151303310516889E-002  0.38489535913316980        4.7555128483149328E-002	  0.14897873210469600       0.41217894673639760       0.92631393279483154       0.71067340511085186       0.89041874631209872       0.40184791187180235     
