   325.00000000000705       0.56221316088693596       0.84459662316959105        8.4396288042746792E-003  0.24640061916067454       0.38503683701233860     	  0.25778675884205743       0.17307318846372241        7.0464353564034720E-003  0.91329047553238729       0.80447735606304471     	  0.98342446352871160        6.6910640752453579E-002  0.23847302468096065       0.91615780850554418        8.6118674472936280E-002	  0.22911499455855705       0.43155626195896368       0.86796717879550900       0.29742625530323957       0.61774494206722541     	   1.2987450855588450E-002  0.86925695986838025        4.8524791686840709E-003  0.15669482347466190        3.5794699689758444E-002
   350.00000000000762       0.40861249532660793       0.76033020177212041        2.7448666011306584E-002  0.51308229591050314       0.43118101986828689     	  0.29318669618341858        5.4339437717977744E-002   5.1094028731412926E-003  0.87828218078165499       0.68444934684362169     	  0.98096703366238192        7.0907842804393325E-003   9.8607876696691785E-002  0.85473500292755655       0.27022383083269691     	   8.8043421636869401E-002  0.71359584880684201       0.98999729295124173       0.14303327685224262       0.86804782390792445     	   7.1807089593516546E-002  0.80941572137413864        6.1192536751927843E-003   4.2426488919803156E-002   1.5504245364560583E-002
   375.00000000000824       0.26024592862207285       0.65514554415577242       0.14695213929608159       0.77197153302985289       0.47587522848333802     	  0.32987064869102262        7.6646630750808612E-003   6.1095386872245094E-003  0.82157717569114597       0.54952101190321057     	  0.95178259377316510        3.3945735509193317E-002   1.8645706652093596E-002  0.76541096613791304       0.51483951325425936     	   1.3417057320187544E-002  0.92078061443332304       0.89865583391528048        4.0523965112109886E-002  0.97563965345284231     	  0.22787318136668347       0.72730974131929571        4.0069176533501756E-003   1.6804312826836153E-003   8.9503920905936410E-002
   400.00000000000887       0.12842418772854547       0.52848861815810666       0.34090045453850665       0.94550900357098799       0.51948678363741208     	  0.36669755392257097        3.6469884520123293E-002   9.3356836652377616E-003  0.73715879688622621       0.39929165624975749     	  0.89668605808857949       0.15549262811383130        1.0605086169520272E-002  0.65408763551020876       0.75510494908337578     	   1.8134318688723210E-002  0.98050408899936059       0.63301017462810572        5.3522587497571222E-003  0.89912955449041976     	  0.44383428332838798       0.62178387558271542        4.2930069494558822E-003   5.2985776219004889E-002  0.23358922776625604     
   425.00000000000944        4.0800629172019813E-002  0.39678257936868289       0.56781522773798376       0.97896428327018969       0.55977977756321162     	  0.40429269437000120       0.13901082836354575        9.3391441116685795E-003  0.63549719287108453       0.26263694654179998     	  0.81992000643775143       0.33788090141856852        7.6778030730885294E-002  0.53036617491611404       0.92791514592211199     	  0.10139457044890553       0.87365412923735997       0.30804839214505358        4.3549123694256127E-002  0.67005597727845156     	  0.67154135894449674       0.50546874776639639        5.2211599589759702E-003  0.17646221078471441       0.42152401720105798     
   450.00000000001006        1.0296350833650733E-002  0.27570410021748598       0.77792539807747840       0.86255407826066433       0.59835541135265613     	  0.44199819262325907       0.30085719593715310        8.0668149287420853E-003  0.52650870971067887       0.14846575275869817     	  0.72666320414472196       0.55208733760420459       0.20566452443704081       0.40507335018576685       0.98294276370429101     	  0.24936039872458476       0.63509217238830562        6.4471474303532991E-002  0.14535907740473147       0.37102701876519273     	  0.86042959618934967       0.38807182165777970        5.0934142424422200E-003  0.35854601602499825       0.62094742178204365     
   475.00000000001069        3.3152325998391768E-002  0.16727811026489545       0.92509330928533728       0.63144210620551189       0.63225353521550676     	  0.47960224986691624       0.49319914868369963        9.3120240477708085E-003  0.41002333848696287        5.8525727513352672E-002	  0.61865607309071313       0.75512485625345394       0.37741399154591260       0.28544077912980337       0.90854762023100866     	  0.43916593874467302       0.34960060679632554        7.5848760156630403E-003  0.29782687959944010       0.12085333185582758     	  0.97233379380860907       0.27020536704506776        4.2532461402102050E-003  0.56363954222432566       0.78077141544853723     
   500.00000000000489       0.10367639850818675        8.0205901623832787E-002  0.97745052486714712       0.35925062002864694       0.66271673544484133     	  0.51673157376435752       0.67997075855396771        1.0051646564604359E-002  0.29743821208781840        1.2612841420978823E-002	  0.50644784422276345       0.90714510003973126       0.56302334804159537       0.17808088330861657       0.72201839003078494     	  0.63892985596476237       0.11080684331399517       0.16203726076168484       0.47935296575387393        1.3327012006432727E-002	  0.97144197586891745       0.17011039619253079        6.1058893218101391E-003  0.75655626473639026       0.86903941703882326     
   524.99999999999193       0.22092887358563496        2.8466750676233572E-002  0.92347932892000795       0.12659319963924170       0.68818127357115322     	  0.55296259885173071       0.83179508385991086        9.6251771322051222E-003  0.19723136384493836        9.4401102315338041E-003	  0.39130385835269477       0.98040608086171510       0.73318471608791902        9.2589146775065037E-002  0.47274042767453861     	  0.81513118601872037        5.2966686195686612E-003  0.46134011706763511       0.66120716935155055        8.5580394336434967E-002	  0.85914859468506855        9.1802248221745250E-002   4.8922585370133748E-003  0.90588704073401394       0.88206854635116383     
   549.99999999997897       0.37156749837014552        1.0270473434807872E-002  0.77477864070203983        9.8869376255323500E-003  0.70847535579709697     	  0.58834074144046478       0.92339372485703575        8.7232754679808181E-003  0.11199177678941204        4.8350560728549402E-002	  0.28310644664931600       0.95852496406451404       0.86143809793938986        3.6067768635821305E-002  0.23068797454250908     	  0.93881447508277327        6.5298393851899630E-002  0.77610602852154953       0.81407352982153869       0.31065686837143974     	  0.67037114290009558        3.2423944810513687E-002   5.5414710493271830E-003  0.98241570033074710       0.80974566834673123     
