   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000000        4.3430343444011303E-002   3.6649403650099666E-002   3.9717291354286775E-002   1.8322078004884428E-002   7.8899837837516987E-002   2.4966636462736016E-003	   1.6932378161224079E-003   4.2824219246922784E-002   1.4857928641051860E-002   3.7261755117589133E-002   7.1276596913529763E-002   8.0478812234222302E-003	   5.5316119854876139E-003   2.4139278952649595E-002   3.4276101124665038E-002   1.3965273575826472E-002   8.1122348033641645E-003   2.8474513330397390E-002	   1.9576640437155401E-002   6.9099147866049468E-002   8.4422585948967691E-002   3.2417644562542029E-002   4.2229980121682581E-002   6.4528930988157804E-002	   4.4345965269468331E-002   6.2803619685721304E-002   3.6037859461876529E-002   7.9813765346901766E-002   4.9296860812871872E-002   8.8240827769612229E-002	   6.0803752358872594E-002   7.1940157418861018E-003   1.9033413922364597E-002   3.3470329349205241E-002   2.7655739923996541E-002   6.2256565311914321E-002
   50.000000000000000        9.7061882728089785E-002   9.5525130463020150E-002  0.14509749462351920        6.4215959810369233E-002  0.28509921338765071        3.2257718363162277E-003	   2.1794105881505666E-003  0.13020797083467237        1.3409522678389525E-002  0.13621582980417546       0.25853050226683238        2.9529859666019950E-002	   2.0124213347804298E-002   8.0620399709432494E-002  0.12100294278324053        1.2982662937445558E-002   2.2655443704139733E-002  0.10789085230235601     	   7.4881197208973446E-002  0.25243320234186456       0.30309533897102919       0.11417689688360233       0.11033374621559387       0.23458824915366830     	  0.16414508823074170       0.22970335689643323       0.12535932038972317       0.28817075024812583       0.14714237597286475       0.27661090070939065     	  0.20003482516960358        2.0369093935338648E-002   6.6753574955034325E-002  0.11679151706067292        9.2278702630746876E-002  0.14296871192307387     
   75.000000000000028       0.21766977077630165       0.21663852884035376       0.30255772709015116       0.13785384628554856       0.55342686616190717        6.7674431670115389E-003	   4.6578789528817768E-003  0.27821532556669704        3.8984755841480451E-002  0.28563787504997012       0.50762342716423281        6.1035048438301480E-002	   4.1650495974470014E-002  0.16967428104526949       0.25702265530281493        3.6462405280374602E-002   4.3849156544759439E-002  0.23059331412313636     	  0.16227915149681751       0.49837775273879603       0.58495755959768236       0.24395145087459472       0.24547200914709671       0.46740186016978885     	  0.33890269808636153       0.45808799272887901       0.25867006465452402       0.56167364275709541       0.31363067040158032       0.55096058414223914     	  0.41189216357878589        4.0026114107827748E-002  0.14336423677266202       0.24150323505832511       0.19218809987642888       0.30381595682190721     
   100.00000000000010       0.34763939574823022       0.34409205670783422       0.48877632427910256       0.23132487830468976       0.80317716798739058        1.1701028908814344E-002	   7.9726806134980590E-003  0.44718152172957426        4.8375204649287108E-002  0.46519177072455847       0.74968263619777342       0.10200133864281717     	   7.0720498978851937E-002  0.28860513412202671       0.42088821526129339        4.5799346141698984E-002   7.3559378934751285E-002  0.38120633459597358     	  0.27347935276082941       0.74332785438390814       0.83832322877408705       0.40039235050830685       0.38556099501127983       0.70461900538020461     	  0.53831184948960498       0.69250220092939718       0.42508658147712619       0.81527350216844319       0.49522141185297119       0.78942131419051531     	  0.63192207807379164        6.6337919120785238E-002  0.24062144241015745       0.40170306742159040       0.32595142492962420       0.47681099537965138     
   125.00000000000017       0.49280618852177771       0.50109579034103258       0.67200019557434743       0.34097452477056872       0.95685212217432081        1.6748190997135617E-002	   1.1395317631028237E-002  0.62002546510830769        7.6305370189518523E-002  0.64526262322064798       0.92048640980031660       0.15394416622947121     	  0.10786760521627443       0.42031962398910788       0.58991221877374289        7.1364911214468710E-002  0.10644531011634557       0.54373708714841695     	  0.40114785454894586       0.92022374375797078       0.97615176393335301       0.56544459487966392       0.55176416369497294       0.88821660659940338     	  0.72869697497580821       0.87815654337666205       0.59213174245226585       0.96695540758050591       0.67303256769680964       0.94919746867017019     	  0.82706688901246306        9.6501591439503931E-002  0.35478409566371766       0.56455936632227754       0.46960405011891349       0.63778604964419894     
   150.00000000000023       0.64547468148474807       0.64500000865181017       0.82814036208459230       0.46041329340764858       0.96929076452928054        2.4204206887288353E-002	   1.6632887709741945E-002  0.77503005324379293        9.6248354823073881E-002  0.80498093535123927       0.96957001645956853       0.21703622706946010     	  0.15292117924936158       0.55547565205729976       0.74553113978539176        9.0180196708820728E-002  0.15014813538865868       0.70038439518356665     	  0.53630546749374308       0.98350738118874470       0.95399162469130616       0.72106381661756402       0.69765186792253830       0.97928127543686716     	  0.88251091532654202       0.96870798903900557       0.74639452569819698       0.97052446827325300       0.82295632925451190       0.96191311827953441     	  0.95306031233105371       0.13493951204922902       0.47924477173881236       0.72030029995415001       0.61195666847244856       0.78720854467879797     
   175.00000000000028       0.75943621061490230       0.77875955407133690       0.92987199166734791       0.57816563419415334       0.83363343684066127        3.1634867647133719E-002	   2.1726305704355325E-002  0.88098875472666638       0.12331490880870803       0.91737675495339810       0.87978437229344852       0.28606995300988147     	  0.20363979290658207       0.68785578681633408       0.86302425879049971       0.11632392610726176       0.19516653141953483       0.83255012659788252     	  0.66782576286499695       0.91235475600239602       0.77780131534963182       0.84461733467360733       0.82562520806711615       0.95477396434631190     	  0.97144838268338563       0.93950178246305005       0.86608738474530711       0.82635568622721156       0.90806093922833508       0.84878361142554259     	  0.97935946920493622       0.17575600415421619       0.60012137048744252       0.84809173655988324       0.74734229156193555       0.86263477587719917     
   200.00000000000037       0.86332975699774883       0.87699960183429149       0.96388117230632819       0.69128313202567515       0.59391008257549338        4.1170183429445263E-002	   2.8468271629265390E-002  0.93448835225566951       0.15918733604994251       0.96777920648515769       0.68127903179401073       0.35685566142189878     	  0.25758918881593423       0.80070913706711611       0.93131262920838953       0.14847336784167697       0.24557815074654518       0.92682066185008927     	  0.78679838855298434       0.73044561661945173       0.50959411579241543       0.92499153140487178       0.91055597022038404       0.82086502955913265     	  0.98363705239734334       0.79967308207031096       0.93203623737166852       0.57670771788616937       0.92675366500830869       0.61400203518385810     	  0.91866558674068677       0.22107053681777622       0.71281603302437690       0.92684151505716728       0.85456145583425092       0.89025456119944923     
   225.00000000000043       0.91286022980159665       0.94282871314885330       0.92459296501981658       0.78818850550768016       0.32574193576374427        5.0515532913664181E-002	   3.5128423610675037E-002  0.92005836157603116       0.18817607544358186       0.95008093666525562       0.43205729519650321       0.43026209219561024     	  0.31598063017965833       0.88594747699905618       0.93715406007378155       0.17859088526517047       0.30285555632583538       0.97206339145770471     	  0.88375161393588331       0.48697468826189760       0.23531469631865790       0.95186419823773194       0.95270031662315380       0.60710831342612281     	  0.91556066300482464       0.58408012096063777       0.93916859469493430       0.30317301572834737       0.87263622695867837       0.36751459622668442     	  0.75759321867489193       0.27017603877952157       0.80614846416392671       0.95519967046323928       0.92415384261261657       0.83963014161351479     
